Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name,balance_change
2023-12-06,2024-04-30 20:54:00,581655972.0,45935.20686133913,-41.06,,Tesco,-41.0574619547624
2023-12-06,2024-04-30 05:27:00,975345315.0,40981.6205777799,-15.11,,Amazon,-15.11198719220556
2023-12-06,2024-04-30 08:39:00,639409800.0,40441.72586687837,-9.2,,Tesco,-9.202296193732764
2023-12-06,2024-04-30 07:22:00,558119802.0,37767.28015560242,-22.52,,Lloyds Pharmacy,-22.52058322205994
2023-12-06,2024-04-30 17:48:00,386729293.0,35458.80244797836,-49.98,,Sports Direct,-49.9800000000032
2023-12-06,2024-04-30 07:24:00,315546581.0,32905.236482810986,-49.2,,Topshop,-49.204404329750105
2023-12-06,2024-04-30 02:44:00,687135796.0,32606.22596572331,-10.55,,Deliveroo,-10.549999999999272
2023-12-06,2024-04-30 05:29:00,554792076.0,32326.268329777264,-40.62,,Selfridges,-40.61979922192404
2023-12-05,2024-04-30 06:55:00,705848712.0,30819.7271482825,-20.94,,Deliveroo,-20.93999999999869
2023-12-06,2024-04-30 06:01:00,370521542.0,30521.348681540003,-12.95,,JustEat,-12.950000000000728
2023-12-06,2024-04-30 06:28:00,858989281.0,30346.924875064728,-16.35,,JustEat,-16.350000000002183
2023-12-06,2024-04-30 07:25:00,383833857.0,29385.095733121496,-13.54,,Deliveroo,-13.540000000000873
2023-12-05,2024-04-30 05:30:00,298000165.0,29147.404216517487,-11.77,,Selfridges,-11.773488897841162
2023-12-06,2024-04-30 08:55:00,647472692.0,29143.147104846143,-33.08,,Fitted Stitch,-33.083283582618606
2023-12-06,2024-04-30 10:44:00,547010927.0,27529.79318336208,-29.29,,Reebok,-29.290000000000873
2023-12-06,2024-04-30 19:02:00,795847804.0,27082.220777909923,-5.45,,Coop Local,-5.452397952467436
2023-12-06,2024-04-30 21:13:00,366550080.0,26834.1657944632,-19.25,,Amazon,-19.247283556902403
2023-12-06,2024-04-30 06:53:00,108563213.0,26334.35497222293,-24.48,,Sainsbury Local,-24.479880763130495
2023-12-06,2024-04-30 04:35:00,216285378.0,26274.17211352841,-44.75,,JustEat,-44.75
2023-12-06,2024-04-30 05:48:00,550169791.0,25391.334191065154,-21.3,,Boots,-21.302082381280343
2023-12-05,2024-04-30 08:12:00,131388684.0,24809.806084551117,-2.02,,Fitted Stitch,-2.0246744324540487
2023-12-06,2024-04-30 08:45:00,764450279.0,24366.77211635454,-38.95,,Topshop,-38.947021519121336
2023-12-06,2024-04-30 09:21:00,618514666.0,24167.875472716485,-198.76,,Selfridges,-198.75800000000163
2023-12-06,2024-04-30 10:15:00,456246119.0,23692.850293067804,-1.99,,Stitch By Stitch,-1.9900000000052387
2023-12-06,2024-04-30 09:15:00,690958123.0,23656.13544787065,-7.8,,Starbucks,-7.799999999999272
2023-12-06,2024-04-30 03:38:00,489964679.0,23432.202069968185,-37.6,,Deliveroo,-37.599999999998545
2023-12-06,2024-04-30 07:23:00,719586818.0,21807.740705406693,-38.64,,AMAZON,-38.638740902679274
2023-12-06,2024-04-30 05:45:00,912705941.0,21125.5936208431,-37.13,,Revella,-37.1299013925709
2023-12-06,2024-04-30 04:11:00,419550103.0,21056.46685486507,-39.96,,AMAZON,-39.95670676606096
2023-12-06,2024-04-30 01:32:00,183888402.0,20811.415741948887,-32.49,,JustEat,-32.4900000000016
2023-12-06,2024-04-30 05:25:00,809499628.0,20201.405045413423,-16.9,,Deliveroo,-16.900000000001455
2023-12-03,2024-04-30 17:47:00,373875019.0,19920.593664887205,-35.95,,Blackwell's,-35.950000000004366
2023-12-06,2024-04-30 06:20:00,704517789.0,19662.529603784704,-14.26,,Amazon,-14.25885807882878
2023-12-06,2024-04-30 18:01:00,653640811.0,19565.867180827685,-64.67,,Loosely Fitted,-64.6734808430192
2023-12-06,2024-04-30 09:36:00,779946617.0,19192.27711718675,-18.0,,Boots,-17.99748860740874
2023-12-03,2024-04-30 08:14:00,675231808.0,19020.448371069517,-13.3,,Coop Local,-13.300761524002155
2023-12-06,2024-04-30 06:11:00,802697323.0,18646.675834216698,-33.24,,Deliveroo,-33.2400000000016
2023-12-06,2024-04-30 02:41:00,679662108.0,18338.68687545505,-27.25,,Coop Local,-27.253832281588984
2023-12-05,2024-04-30 04:54:00,651756497.0,18312.73671909955,-46.09,,Revella,-46.09386892429029
2023-12-06,2024-04-30 05:12:00,196289502.0,18234.753041109903,-12.38,,Deliveroo,-12.380000000001019
2023-12-06,2024-04-30 06:30:00,506618547.0,17879.54514021811,-0.88,,Coop Local,-0.8832794408226619
2023-12-01,2024-04-30 00:00:00,897592348.0,17859.04141771175,2300.0,,Sunny Care Nursery,54.9600000000064
2023-12-06,2024-04-30 09:19:00,417850087.0,17828.890511277426,-5.7,,Starbucks,-5.700000000000728
2023-12-06,2024-04-30 05:17:00,832564361.0,17784.25014103694,-12.14,,Amazon,-12.136267957746895
2023-12-06,2024-04-30 16:06:00,272538745.0,17447.508374448127,-34.88,,Deliveroo,-34.88000000000102
2023-12-06,2024-04-30 06:48:00,237493332.0,17008.013702600063,-67.42,,Matalan,-67.41826229731305
2023-12-06,2024-04-30 06:18:00,960208650.0,16860.132696642097,-7.87,,Coop Local,-7.874818408276042
2023-12-06,2024-04-30 06:58:00,108931112.0,16507.775693942127,-25.42,,JustEat,-25.419999999998254
2023-12-06,2024-04-30 03:30:00,518474507.0,16260.721112350378,-33.38,,Deliveroo,-33.3799999999992
2023-12-06,2024-04-30 02:58:00,984783496.0,16120.475057772464,-18.74,,JustEat,-18.739999999997963
2023-12-05,2024-04-30 08:27:00,730002588.0,15964.79932114482,-18.98,,Fitted Stitch,-18.98189363526035
2023-12-06,2024-04-30 09:01:00,282837512.0,15962.260664139694,-11.31,,Loosely Fitted,-11.3091010758435
2023-12-06,2024-04-30 11:34:00,308505160.0,15844.276129160617,-15.77,,Sainsbury,-15.77055500770257
2023-12-06,2024-04-30 04:43:00,657139925.0,15507.375279996146,-15.5,,Deliveroo,-15.5
2023-12-05,2024-04-30 08:19:00,500043411.0,15212.65047946702,-4.47,,Topshop,-4.465453898901615
2023-12-06,2024-04-30 04:16:00,450896297.0,15011.976491703188,-44.6,,Deliveroo,-44.600000000000364
2023-12-04,2024-04-30 16:07:00,392270893.0,14994.351402089738,-47.62,,Amazon,-47.62376951456645
2023-12-06,2024-04-30 05:34:00,899742927.0,14792.76173267226,-40.4,,Fat Face,-40.40171810078027
2023-12-06,2024-04-30 03:52:00,706250160.0,14762.79313078748,-19.7,,Boots,-19.702682931925665
2023-12-06,2024-04-30 17:40:00,235881534.0,14522.01579551679,-62.12,,Sainsbury,-62.11552137277977
2023-12-05,2024-04-30 06:14:00,905860285.0,14513.199385097956,-3.03,,Boots,-3.029915875968072
2023-12-06,2024-04-30 03:09:00,414805878.0,14506.029694591063,-29.48,,Deliveroo,-29.480000000001382
2023-12-05,2024-04-30 14:21:00,480198977.0,14242.352032593251,-59.98,,Five Senses Art,-94.96000000000095
2023-12-06,2024-04-30 07:10:00,441274121.0,14227.932981681912,-18.41,,Etsy,-18.413335370323693
2023-12-06,2024-04-30 02:57:00,510101371.0,14109.73176627904,-35.21,,JustEat,-35.210000000000946
2023-12-06,2024-04-30 07:50:00,586315521.0,14070.44229353735,-30.93,,Fitted Stitch,-30.92931711610072
2023-12-04,2024-04-30 17:18:00,858560423.0,14057.877253018789,-89.97,,Brilliant Brushes,-246.9399999999987
2023-12-06,2024-04-30 07:12:00,496395938.0,13740.081955590596,-42.3,,Revella,-42.29862511212741
2023-12-06,2024-04-30 03:22:00,113747882.0,13686.22592618471,-31.68,,Deliveroo,-31.68000000000029
2023-12-05,2024-04-30 07:46:00,672913754.0,13489.085723842123,-1.37,,Fat Face,-1.3651920271968265
2023-12-06,2024-04-30 17:29:00,806358207.0,13337.32805840264,-2.08,,Sainsbury,-2.083894455134214
